ID 	How_often	Work_Din	Aperitif	Rom_Din	Spec_Occ	Place	Reasons	Meaning	Percept	Pl_Origin	W_Brand	Price	Pack	Quality	Info_lab	Sal_rec	F_rec	Provenance	Tech_inf	D_taste	Fbsw	Brand	History	Loyalty	Unloyal	List_Adv	G_info	Fr_rec	M_C_P	M_C_I_P	Know_it	Tried_w	Why_it_w	J_I_P	IT_Vs_Am	Dryness	Sweet	Oak	Fruity	Still	Spark	Red	White	D_of_B	Today	Age	Sex	Ed_level	City	Area 	Urb_rur	Home_con	Sp_occ	Gift	Format	It_brands	Job
352	6	5	5	5	5	1	1	1	2	4	3	3	2	5	4	3	4	4	3	4	3	2	3	3	3	2	4	4	3	1	1	1	1	2	2	3	1	4	4	3	3	5	4	10/3/1956	04/06/2014	58	1	3	3	3	1	1	3	2	1	2	6
353	6	5	5	5	5	1	1	2	2	5	4	4	2	5	1	2	3	5	3	3	1	4	2	4	2	2	4	2	1	5	1	1	2	3	2	4	1	1	5	5	5	3	5	23/7/1968	04/06/2014	46	2	3	3	3	2	1	2	2	1	5	1
354	3	3	4	5	5	2	1	1	2	4	2	3	2	5	2	3	4	4	2	4	4	2	2	2	4	2	1	4	3	4	2	2	2	2	2	3	3	1	4	2	1	5	1	11/7/1962	04/06/2014	52	1	3	3	3	1	1	2	3	1	2	3
355	3	4	5	5	5	2	1	2	2	3	2	5	2	5	2	4	5	5	1	5	4	2	2	5	3	1	1	3	3	4	1	1	1	2	1	4	5	1	5	4	3	2	5	14/2/1991	04/06/2014	23	2	4	3	3	1	1	2	2	1	6	8
356	4	5	5	5	5	1	1	2	2	3	3	3	1	5	3	3	3	3	3	3	3	3	3	4	2	1	2	2	3	2	1	1	3	1	2	2	2	1	1	5	NA	1	NA	9/9/1938	04/06/2014	76	2	2	3	3	1	2	3	3	3	6	6
357	6	5	5	5	5	1	1	2	2	4	1	3	1	4	3	4	1	5	4	4	3	1	1	2	1	3	2	2	2	2	2	1	1	1	1	5	1	2	3	5	5	5	5	21/2/1964	04/06/2014	50	1	5	3	3	1	3	3	3	1	1	1
358	6	5	5	5	5	1	1	2	2	4	4	3	3	5	4	4	4	5	2	4	2	3	2	2	4	3	3	3	3	2	1	1	3	2	2	5	2	1	5	4	5	5	4	12/9/1948	04/06/2014	66	2	4	3	3	1	2	3	3	1	2	1
359	4	1	5	5	5	1	1	2	2	4	3	3	3	4	4	4	4	4	4	4	3	2	2	2	2	3	3	3	3	1	1	1	1	1	2	3	3	3	3	4	4	3	4	5/5/1961	04/06/2014	53	2	5	3	3	1	2	3	2	1	1	1
360	5	5	5	5	5	1	1	2	2	3	4	4	3	5	4	4	4	4	4	5	4	4	4	2	4	2	2	3	3	1	1	2	3	2	2	4	1	2	4	5	3	5	2	26/8/1955	04/06/2014	59	2	5	84	4	1	1	3	2	1	1	1
361	3	5	5	5	5	4	1	1	2	4	3	3	1	5	4	3	5	4	1	4	5	2	1	2	3	3	3	5	3	1	2	1	3	2	2	5	2	4	3	2	2	5	4	12/7/1955	04/06/2014	59	2	4	3	3	1	1	3	3	1	7	2
362	3	3	5	5	5	4	1	2	2	1	3	5	5	1	3	4	4	1	1	5	5	3	2	3	3	3	4	4	3	6	2	7	5	3	2	4	2	3	4	3	4	5	1	22/9/1983	04/06/2014	31	2	3	3	3	1	2	2	3	1	6	3
363	4	2	5	5	5	1	1	2	2	3	4	4	2	5	2	4	5	5	3	5	2	3	2	1	4	3	2	4	3	1	1	1	2	3	2	5	1	3	4	3	3	5	5	1/5/1965	04/06/2014	49	2	3	3	3	2	2	3	2	1	1	1
364	4	5	5	5	5	1	1	2	1	4	4	4	1	5	2	3	4	5	2	3	1	4	2	2	2	3	3	4	3	4	1	1	2	2	2	3	3	3	5	4	4	4	5	1/1/1968	04/06/2014	46	1	3	3	3	1	1	3	3	1	2	1
365	6	3	5	5	5	1	1	4	3	3	4	3	2	5	4	3	4	4	3	5	4	4	4	2	3	3	4	4	1	1	1	1	2	2	2	4	2	3	5	3	2	5	1	3/3/1960	04/06/2014	54	1	3	3	3	1	2	3	3	1	2	6
366	4	2	5	5	5	2	1	2	2	3	4	3	2	5	4	3	3	3	5	4	2	4	3	3	4	3	2	3	1	1	1	1	1	1	2	5	1	1	3	5	4	5	5	1/10/1932	04/06/2014	82	1	5	3	3	1	2	3	3	1	1	6
367	4	4	5	5	5	1	1	2	2	4	2	3	1	5	2	3	3	4	4	4	2	2	1	1	5	2	3	3	3	2	1	1	4	3	2	3	2	3	3	4	3	5	1	NA	04/06/2014	NA	2	3	3	3	1	2	3	2	1	6	3
368	6	2	5	5	5	4	1	1	2	5	2	4	2	5	2	3	4	5	5	2	2	2	2	1	5	2	5	4	3	2	1	1	2	2	2	4	3	1	3	5	5	5	5	21/12/2014	04/06/2014	NA	1	5	3	3	1	3	3	3	1	3	1
